index,T/F
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,1
614,0
615,1
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,1
672,0
673,0
674,0
675,1
676,1
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,1
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,1
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,0
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,1
815,0
816,1
817,0
818,0
819,1
820,1
821,0
822,0
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,1
845,0
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,0
858,1
859,0
860,0
861,0
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,0
873,0
874,1
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,1
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,1
909,0
910,1
911,1
912,0
913,0
914,0
915,1
916,0
917,0
918,1
919,1
920,0
921,1
922,0
923,0
924,1
925,1
926,0
927,0
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,1
945,0
946,0
947,0
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,0
956,0
957,1
958,0
959,0
960,1
961,1
962,0
963,1
964,0
965,0
966,0
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,0
975,0
976,1
977,0
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,0
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,1
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,0
1140,1
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,0
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,1
1237,0
1238,0
1239,1
1240,1
1241,0
1242,0
1243,0
1244,1
1245,1
1246,0
1247,1
1248,0
1249,0
1250,0
1251,0
1252,1
1253,0
1254,1
1255,1
1256,1
1257,0
1258,1
1259,1
1260,1
1261,1
